#origin,destination,ipcc,
JNB,CPT,E6IE
JNB,DUR,E6IE
JNB,PLZ,E6IE
JNB,GRJ,E6IE
JNB,MQP,E6IE
JNB,LVI,E6IE
JNB,HRE,E6IE
JNB,EDH,E6IE
JNB,LUN,E6IE
JNB,MRU,E6IE
JNB,NLA,E6IE
JNB,VNX,E6IE
HLA,CPT,E6IE
HLA,DUR,E6IE
HLA,GBE,E6IE
HLA,MPM,E6IE
CPT,HLA,E6IE
CPT,JNB,E6IE
CPT,DUR,E6IE
CPT,PLZ,E6IE
DUR,CPT,E6IE
DUR,HLA,E6IE
DUR,JNB,E6IE
DUR,PLZ,E6IE
PLZ,JNB,E6IE
PLZ,DUR,E6IE
PLZ,CPT,E6IE
GRJ,JNB,E6IE
MQP,JNB,E6IE
MQP,VNX,E6IE
LVI,JNB,E6IE
HRE,JNB,E6IE
WDH,JNB,E6IE
LUN,JNB,E6IE
MRU,JNB,E6IE
NLA,JNB,E6IE
VNX,JNB,E6IE
GBE,HLA,E6IE
MPM,HLA,E6IE