# Country code, National Currency, Override Currency, Dialing Code
AD,EUR,,376
AE,AED,,971
AF,AFA,,93
AG,XCD,,1268
AI,XCD,,1264
AL,ALL,,355
AM,AMD,,374
AN,ANG,,599
AO,AOA,USD,244
AR,ARS,,54
AS,USD,,684
AT,EUR,,43
AU,AUD,,61
AW,AWG,,297
AZ,AZM,,994
BA,BAM,,387
BB,BBD,,1246
BD,BDT,,880
BE,EUR,,32
BF,XOF,,226
BG,BGL,EUR,359
BH,BHD,,973
BI,BIF,,257
BJ,XOF,,229
BM,BMD,,1441
BN,BND,,673
BO,BOV,,591
BR,BRL,,55
BS,BSD,,1242
BT,BTN,,975
BW,BWP,,267
BY,BYR,,375
BZ,BZD,,501
CA,CAD,,1
CC,AUD,,61
CD,CDF,,242
CF,XAF,,236
CG,XAF,,243
CH,CHF,,41
CI,XOF,USD,225
CK,NZD,,682
CL,CLF,,56
CM,XAF,USD,237
CN,CNY,,86
CO,COP,,57
CR,CRC,,506
CS,USD,,381
CU,CUP,,53
CV,CVE,,238
CX,AUD,,53
CY,CYP,,357
CZ,CZK,,420
DE,EUR,,49
DJ,DJF,,253
DK,DKK,,45
DM,XCD,,1767
DO,DOP,,1809
DZ,DZD,,213
EC,USD,,593
EE,EEK,,372
EG,EGP,,20
EH,MAD,,212
ER,ERN,,291
ES,EUR,,34
ET,ETB,,251
FI,EUR,,358
FJ,FJD,,679
FK,FKP,,500
FM,USD,,691
FO,DKK,,298
FR,EUR,,33
GA,XAF,,241
GB,GBP,,44
GD,XCD,,1473
GE,GEL,,995
GF,FRF,,594
GH,GHC,,233
GI,GIP,,350
GL,DKK,,299
GM,GMD,USD,220
GN,GNF,,224
GP,FRF,,590
GQ,XAF,,240
GR,EUR,,30
GT,GTQ,,502
GU,USD,,1671
GW,GWP,,245
GY,GYD,,592
HK,HKD,,852
HM,AUD,,334
HN,HNL,,504
HR,HRK,EUR,385
HT,USD,,509
HU,HUF,,36
ID,IDR,,62
IE,EUR,,353
IL,ILS,USD,972
IN,INR,,91
IO,USD,,086
IQ,IQD,,964
IR,IRR,,98
IS,ISK,,354
IT,EUR,,39
JM,JMD,,1876
JO,JOD,,962
JP,JPY,,81
KE,KES,USD,254
KG,KGS,,996
KH,KHR,,855
KI,AUD,,686
KM,KMF,,269
KN,XCD,,1869
KP,KPW,,850
KR,KRW,,82
KW,KWD,,965
KY,KYD,,1345
KZ,KZT,,7
LA,LAK,,856
LB,LBP,,961
LC,XCD,,1758
LI,CHF,,423
LK,LKR,,94
LR,LRD,USD,231
LS,ZAR,,266
LT,LTL,,370
LU,EUR,,352
LV,LVL,,371
LY,LYD,,218
MA,MAD,,212
MC,FRF,,377
MD,MDL,,373
MG,MGF,,261
MH,USD,,692
MK,MKD,,389
ML,XOF,,223
MM,MMK,,95
MN,MNT,,976
MO,MOP,,853
MP,USD,,1670
MQ,FRF,,596
MR,MRO,,222
MS,XCD,,1664
MT,MTL,,356
MU,MUR,,230
MV,MVR,,960
MW,MWK,,265
MX,MXN,,52
MY,MYR,,60
MZ,MZM,,258
NA,ZAR,,264
NC,XPF,,687
NE,XOF,,227
NF,AUD,,672
NG,NGN,,234
NI,NIO,,505
NL,EUR,,31
NO,NOK,,47
NP,NPR,,977
NR,AUD,,674
NU,NZD,,683
NZ,NZD,,64
OM,OMR,,968
PA,PAB,,507
PE,PEN,,51
PF,XPF,,689
PG,PGK,,675
PH,PHP,,63
PK,PKR,,92
PL,PLN,,48
PM,FRF,,508
PN,NZD,,872
PR,USD,,1787
PT,EUR,,351
PW,USD,,680
PY,PYG,,595
QA,QAR,,974
RE,FRF,,262
RO,ROL,EUR,40
RU,RUB,EUR,7
RW,RWF,USD,250
SA,SAR,,966
SB,SBD,,677
SC,SCR,,248
SD,SDD,,249
SE,SEK,,46
SG,SGD,,65
SH,SHP,,290
SI,SIT,,386
SJ,NOK,,47
SK,SKK,,421
SL,SLL,USD,232
SM,ITL,,378
SN,XOF,USD,221
SO,SOS,,252
SR,SRG,,597
ST,STD,,239
SV,SVC,,503
SY,SYP,,963
SZ,SZL,,268
TC,USD,,1649
TD,XAF,,235
TF,FRF,,260
TG,XOF,,228
TH,THB,,66
TJ,TJS,,992
TK,NZD,,690
TM,TMM,,993
TN,TND,,216
TO,TOP,,676
TP,TPE,,670
TR,EUR,,90
TT,TTD,,1868
TV,AUD,,688
TW,TWD,,886
TZ,TZS,,255
UA,UAH,USD,380
UG,UGX,USD,256
UM,USD,,581
US,USD,,1
UY,UYU,,598
UZ,UZS,,998
VA,ITL,,39
VC,XCD,,1784
VE,VEB,,58
VG,USD,,1284
VI,USD,,1340
VN,VND,,84
VU,VUV,,678
WF,XPF,,681
WS,WST,,685
YE,YER,,967
YT,FRF,,269
ZA,ZAR,,27
ZM,ZMK,,260
ZW,ZWD,,263